,IR,guitar_mapping,mic_mapping,excitation_type,excitation_length,has_ring,volume,if_params,weiner_params,acdw_params,Inverse_Filtering_Similarity_Melody,Inverse_Filtering_Correlation_Melody,Weiner_Similarity_Melody,Weiner_Correlation_Melody,ACDW_Similarity_Melody,ACDW_Correlation_Melody,Inverse_Filtering_Similarity_Chords,Inverse_Filtering_Correlation_Chords,Weiner_Similarity_Chords,Weiner_Correlation_Chords,ACDW_Similarity_Chords,ACDW_Correlation_Chords
11,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,piezo_to_mic,sweep,5s_excitation,ring,med,{'ir_length': np.int64(88200)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",4.845692538589131e-06,,3.902612861523252e-06,,4.274045199773722e-06,,2.0548542125064253e-06,,2.4420307667780456e-06,,4.164573401462705e-06,
12,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,mic_to_mic,sweep,5s_excitation,no_ring,loud,{'ir_length': np.int64(264600)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",4.79149645558945e-06,,3.022391398867108e-06,,3.0808442448603515e-06,,2.0811262502970362e-06,,3.0246220766889235e-06,,4.026380934713433e-06,
13,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,piezo_to_mic,sweep,5s_excitation,no_ring,loud,{'ir_length': np.int64(264600)},"{'ir_length': np.int64(132300), 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",5.584527324838307e-06,,4.285101041042744e-06,,5.930447565761339e-06,,2.576942512251329e-06,,3.688159225170819e-06,,4.1501061929948765e-06,
14,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,mic_to_mic,sweep,5s_excitation,no_ring,med,{'ir_length': np.int64(264600)},"{'ir_length': np.int64(264600), 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",6.4199367913833335e-06,,4.004163855245299e-06,,2.7892692413791737e-06,,1.755163895106332e-06,,2.6241449179187133e-06,,4.54385303400045e-06,
15,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,piezo_to_mic,sweep,5s_excitation,no_ring,med,{'ir_length': np.int64(264600)},"{'ir_length': np.int64(264600), 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",4.835186512232978e-06,,3.5052225828059043e-06,,7.365798942072273e-06,,2.9040598851177807e-06,,2.9938526952160754e-06,,4.2462132363504474e-06,
16,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,mic_to_mic,sweep,10s_excitation,ring,loud,{'ir_length': np.int64(529200)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",5.7854620060462975e-06,,4.083681796589436e-06,,3.984699382812617e-06,,1.6534445582739107e-06,,2.685031832692037e-06,,3.1335503010052177e-06,
17,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,piezo_to_mic,sweep,10s_excitation,ring,loud,{'ir_length': np.int64(529200)},"{'ir_length': np.int64(529200), 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",4.6906411164633805e-06,,4.637529042743653e-06,,3.6768370226775937e-06,,1.4086460915425335e-06,,1.8368127148751556e-06,,3.57771131186943e-06,
18,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,mic_to_mic,sweep,10s_excitation,ring,med,{'ir_length': np.int64(66150)},"{'ir_length': np.int64(529200), 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",3.990828887146897e-06,,4.919677054293124e-06,,4.211786778985315e-06,,2.5879024666745733e-06,,2.2754777021978714e-06,,2.7867706142581177e-06,
19,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,piezo_to_mic,sweep,10s_excitation,ring,med,{'ir_length': np.int64(264600)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",5.3338501408519574e-06,,3.5843428505796466e-06,,4.03165538566376e-06,,1.906987791591742e-06,,3.730570716527189e-06,,3.7217961648875945e-06,
20,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,mic_to_mic,sweep,10s_excitation,no_ring,loud,{'ir_length': np.int64(105840)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",3.9401282830709974e-06,,4.1618183095300604e-06,,4.088563811965262e-06,,3.929446248845867e-06,,3.1019717480058184e-06,,2.8784664678437995e-06,
